EleName, EleId, Value, Note
Basic Wall:Generic - 200mm:347943,0,correct,
Basic Wall:Generic - 200mm:350286,1,other,slighty wrong roation
Railing:1100mm:349532,2,correct,
Switch_-_Double_3951:Double Switch:361458,3,correct,
Assembled Stair:Stair:349153 Stringer 1,4,correct,
Basic Wall:Generic - 200mm:347460,5,correct,
Assembled Stair:Stair:349153 Stringer 2,6,correct,
Assembled Stair:Stair:349153 Run 1,7,correct,
Railing:1100mm:349536,8,correct,
M_Rectangular Column:475 x 610mm:365844,9,other,50cm away
M_Rectangular Column:475 x 610mm:365701,10,correct,
Basic Wall:Generic - 200mm:350060,11,correct,
Switch_-_Double_3951:Double Switch:361137,12,other,10cm too high
Switch_-_Double_3951:Double Switch:361508,13,incorrect,1m to the right
Basic Wall:Generic - 200mm:347656,14,correct,
Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,on wrong wall
PHILIPS_luxspace-light1,16,UNASSIGNED,
PHILIPS_luxspace-light:378021,17,UNASSIGNED,
LiftSign,18,UNASSIGNED,
PHILIPS_luxspace-light:376308,19,UNASSIGNED,
PHILIPS_luxspace-light:377282,20,UNASSIGNED,
Phone,21,incorrect,on wrong wall 3m away
ExitSign,22,UNASSIGNED,
PHILIPS_luxspace-light:377731,23,UNASSIGNED,
PHILIPS_luxspace-light2,24,UNASSIGNED,
PHILIPS_luxspace-light:377085,25,UNASSIGNED,
PHILIPS_luxspace-light:376919,26,UNASSIGNED,
ExitSign2,27,UNASSIGNED,
FireExtinguisherSign2,28,UNASSIGNED,
PHILIPS_luxspace-light:376148,29,UNASSIGNED,
