Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p9AR,316.7232,668.2326,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,232,28.072,1.656759,5,FALSE,L
1,137,16.577,1.849202,3,TRUE,L
2,64,7.744,0,0,TRUE,M
3,72,8.712,1.635851,7,FALSE,S
4,11,1.331,1.131678,3,TRUE,M
5,468,56.628,1.331739,4,FALSE,L
6,76,9.196,0.7586709,3,TRUE,M
7,160,19.36,1.195977,4,FALSE,M
8,110,13.31,0.5569748,2,TRUE,M
9,157,18.997,3.996616,8,TRUE,M
10,200,24.2,2.084599,8,FALSE,M
11,61,7.381,1.228024,4,FALSE,L
12,51,6.171,3.778856,6,FALSE,S
13,21,2.541,0.5573044,2,FALSE,S
14,78,9.438,0.1860308,2,FALSE,L
15,5,0.605,0,0,FALSE,S
16,5,0.605,0.0843586,1,FALSE,S
17,16,1.936,0.8953288,2,FALSE,S
18,12,1.452,0.3393332,1,FALSE,S
19,2,0.242,0,0,FALSE,S
20,29,3.509,1.503651,2,FALSE,S
21,32,3.872,2.573614,2,FALSE,S
22,35,4.235,1.95578,3,TRUE,S
23,10,1.21,0.5730041,1,FALSE,S
24,27,3.267,1.796983,0,FALSE,S
25,12,1.452,0.3362911,1,FALSE,S
26,9,1.089,0,0,FALSE,S
27,31,3.751,1.242222,3,TRUE,S
28,34,4.114,0,0,FALSE,S
29,7,0.847,0.3366038,1,FALSE,S
