Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p8AR,34.66592,578.1766,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,131,15.851,7.069596,11,FALSE,L
1,509,61.589,3.62439,10,FALSE,L
2,2,0.242,0,0,FALSE,M
3,44,5.324,1.399904,2,FALSE,S
4,0,0,0,0,TRUE,M
5,1308,158.268,38.41726,47,FALSE,L
6,1,0.121,0,0,TRUE,M
7,9,1.089,0,0,TRUE,M
8,6,0.726,0,0,TRUE,M
9,0,0,0,0,FALSE,M
10,51,6.171,1.499307,3,FALSE,M
11,614,74.294,26.56026,51,TRUE,L
12,18,2.178,2.547514,3,FALSE,S
13,5,0.605,0.235363,1,FALSE,S
14,396,47.916,10.65676,22,FALSE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,0,0,0,0,TRUE,S
18,0,0,0,0,FALSE,S
19,0,0,0,0,FALSE,S
20,33,3.993,1.177005,5,TRUE,S
21,34,4.114,2.378667,1,FALSE,S
22,0,0,0,0,TRUE,S
23,0,0,0,0,TRUE,S
24,0,0,0,0,FALSE,S
25,0,0,0,0,FALSE,S
26,0,0,0,0,FALSE,S
27,0,0,0,0,FALSE,S
28,0,0,0,0,FALSE,S
29,28,3.388,2.872536,1,FALSE,S
