Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p11AR,246.4686,844.3793,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,562,68.002,22.45338,35,FALSE,L
1,107,12.947,0,0,TRUE,L
2,192,23.232,5.915064,8,FALSE,M
3,130,15.73,1.663061,7,FALSE,S
4,20,2.42,0,0,FALSE,M
5,1231,148.951,16.70308,23,FALSE,L
6,80,9.68,0.2197039,1,FALSE,M
7,233,28.193,4.297852,6,FALSE,M
8,84,10.164,1.079399,5,FALSE,M
9,183,22.143,3.677739,9,FALSE,M
10,252,30.492,7.903109,26,FALSE,M
11,111,13.431,2.165341,9,FALSE,L
12,95,11.495,7.35612,11,FALSE,S
13,48,5.808,2.517325,6,FALSE,S
14,196,23.716,6.85029,5,FALSE,L
15,15,1.815,0,0,FALSE,S
16,33,3.993,1.09459,4,FALSE,S
17,17,2.057,0.4188639,2,FALSE,S
18,5,0.605,0.1853366,2,TRUE,S
19,43,5.203,1.858647,3,FALSE,S
20,32,3.872,1.866057,3,FALSE,S
21,197,23.837,17.46222,9,FALSE,S
22,77,9.317,6.797354,7,FALSE,S
23,11,1.331,0.2178283,1,FALSE,S
24,25,3.025,0.5378381,2,FALSE,S
25,28,3.388,0.9936088,3,FALSE,S
26,23,2.783,0.1006028,1,FALSE,S
27,30,3.63,0.9097904,2,FALSE,S
28,33,3.993,0,0,FALSE,S
29,31,3.751,1.262398,2,FALSE,S
