Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p5AR,393.8109,974.5293,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,648,78.408,31.63556,40,FALSE,L
1,327,39.567,1.478243,5,TRUE,L
2,307,37.147,7.135565,17,FALSE,M
3,71,8.591,4.500716,3,FALSE,S
4,56,6.776,2.037751,5,TRUE,M
5,609,73.689,1.950582,6,TRUE,L
6,148,17.908,2.186594,4,FALSE,M
7,208,25.168,1.499786,3,TRUE,M
8,463,56.023,17.81132,24,TRUE,M
9,134,16.214,9.582748,10,FALSE,M
10,76,9.196,2.895608,6,FALSE,M
11,170,20.57,14.00927,28,FALSE,L
12,49,5.929,5.190657,5,FALSE,S
13,17,2.057,1.044944,1,FALSE,S
14,191,23.111,2.675789,9,FALSE,L
15,26,3.146,0,0,FALSE,S
16,28,3.388,1.401036,2,FALSE,S
17,65,7.865,5.35249,4,FALSE,S
18,11,1.331,0,0,TRUE,S
19,85,10.285,5.520471,6,FALSE,S
20,73,8.833,6.078109,4,TRUE,S
21,70,8.47,6.415818,4,FALSE,S
22,16,1.936,0.2020197,2,FALSE,S
23,32,3.872,1.394025,3,FALSE,S
24,51,6.171,0,0,TRUE,S
25,34,4.114,3.582528,1,FALSE,S
26,28,3.388,2.139001,1,FALSE,S
27,7,0.847,0,0,FALSE,S
28,43,5.203,0,0,FALSE,S
29,28,3.388,2.372047,2,TRUE,S
