Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p10AR,158.1996,815.4349,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,150,18.15,0.1013292,1,FALSE,L
1,69,8.349,0.3501836,1,TRUE,L
2,157,18.997,0.2007035,2,FALSE,M
3,56,6.776,1.627077,4,FALSE,S
4,3,0.363,0,0,FALSE,M
5,475,57.475,5.639819,15,FALSE,L
6,49,5.929,0,0,FALSE,M
7,229,27.709,3.408062,7,FALSE,M
8,132,15.972,0.3516716,1,FALSE,M
9,134,16.214,1.565828,6,FALSE,M
10,252,30.492,5.541081,13,TRUE,M
11,236,28.556,8.024877,23,FALSE,L
12,60,7.26,4.337561,6,FALSE,S
13,18,2.178,0.2180179,1,TRUE,S
14,196,23.716,2.200437,5,FALSE,L
15,4,0.484,0,0,FALSE,S
16,3,0.363,0,0,FALSE,S
17,24,2.904,1.52909,2,FALSE,S
18,22,2.662,5.027358,3,FALSE,S
19,46,5.566,2.327966,4,FALSE,S
20,1,0.121,0,0,TRUE,S
21,19,2.299,0.6744834,2,FALSE,S
22,39,4.719,1.992147,4,FALSE,S
23,34,4.114,1.90095,3,FALSE,S
24,27,3.267,0.2196554,1,FALSE,S
25,27,3.267,1.415877,2,FALSE,S
26,19,2.299,0.2031407,2,TRUE,S
27,33,3.993,0.5900056,1,FALSE,S
28,6,0.726,0,0,FALSE,S
29,44,5.324,3.724004,1,FALSE,S
