Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p7AR,401.4818,740.0195,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,202,24.442,6.041583,6,FALSE,L
1,128,15.488,1.979342,3,FALSE,L
2,144,17.424,2.073881,6,FALSE,M
3,93,11.253,4.819968,5,FALSE,S
4,92,11.132,1.896756,5,TRUE,M
5,700,84.7,9.490282,23,FALSE,L
6,92,11.132,2.709111,6,FALSE,M
7,255,30.855,1.750415,5,FALSE,M
8,166,20.086,6.456502,15,TRUE,M
9,77,9.317,0.7743207,3,FALSE,M
10,45,5.445,0.5356177,2,FALSE,M
11,255,30.855,7.274813,16,FALSE,L
12,45,5.445,5.032928,8,FALSE,S
13,22,2.662,2.666264,3,FALSE,S
14,243,29.403,2.526691,7,FALSE,L
15,4,0.484,0,0,FALSE,S
16,4,0.484,0,0,FALSE,S
17,34,4.114,3.071933,2,FALSE,S
18,10,1.21,0.4533473,1,FALSE,S
19,14,1.694,0.2873467,2,FALSE,S
20,43,5.203,3.903372,2,FALSE,S
21,26,3.146,1.481421,3,FALSE,S
22,16,1.936,0.6016685,5,FALSE,S
23,18,2.178,1.129297,2,FALSE,S
24,32,3.872,2.386063,1,FALSE,S
25,15,1.815,0.3026051,2,FALSE,S
26,19,2.299,0.6251482,3,FALSE,S
27,24,2.904,1.010068,2,FALSE,S
28,7,0.847,0,0,FALSE,S
29,5,0.605,0.1003316,1,FALSE,S
