Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p5AR,381.3973,974.5293,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,474,57.354,26.62004,47,FALSE,L
1,283,34.243,2.352172,9,TRUE,L
2,259,31.339,8.162937,13,FALSE,M
3,65,7.865,0.1005825,0,FALSE,S
4,207,25.047,4.821078,12,TRUE,M
5,401,48.521,1.253473,6,TRUE,L
6,122,14.762,0.8224562,1,FALSE,M
7,338,40.898,1.492326,3,TRUE,M
8,188,22.748,6.188602,16,TRUE,M
9,20,2.42,9.88835,11,FALSE,M
10,15,1.815,1.961901,5,FALSE,M
11,254,30.734,12.73584,25,FALSE,L
12,75,9.075,10.49121,11,FALSE,S
13,0,0,1.304462,1,FALSE,S
14,49,5.929,3.237797,10,FALSE,L
15,20,2.42,1.830718,4,FALSE,S
16,0,0,1.402182,2,FALSE,S
17,32,3.872,7.081246,6,FALSE,S
18,31,3.751,2.577463,3,TRUE,S
19,18,2.178,2.31484,5,FALSE,S
20,30,3.63,6.981207,6,TRUE,S
21,0,0,5.665432,5,FALSE,S
22,17,2.057,0.9007025,3,FALSE,S
23,20,2.42,1.43278,1,FALSE,S
24,13,1.573,0.1009756,1,TRUE,S
25,4,0.484,3.585341,1,FALSE,S
26,56,6.776,4.909351,2,FALSE,S
27,13,1.573,0.3202612,2,FALSE,S
28,4,0.484,0,0,FALSE,S
29,14,1.694,0.9536726,1,TRUE,S
