Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p5AR,338.0196,974.5293,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,545,65.945,19.72888,34,FALSE,L
1,135,16.335,11.94064,22,TRUE,L
2,301,36.421,11.07689,19,FALSE,M
3,93,11.253,11.07909,8,FALSE,S
4,179,21.659,3.342767,7,TRUE,M
5,551,66.671,8.711771,15,TRUE,L
6,119,14.399,0,0,FALSE,M
7,293,35.453,2.716782,4,TRUE,M
8,280,33.88,12.23705,25,TRUE,M
9,78,9.438,5.395771,7,FALSE,M
10,13,1.573,1.922082,5,FALSE,M
11,328,39.688,3.550097,8,FALSE,L
12,151,18.271,0,0,FALSE,S
13,18,2.178,0,0,FALSE,S
14,187,22.627,2.907995,10,FALSE,L
15,4,0.484,0,0,FALSE,S
16,0,0,0.4866455,1,FALSE,S
17,32,3.872,7.10464,6,FALSE,S
18,31,3.751,1.24257,4,TRUE,S
19,52,6.292,4.305884,6,FALSE,S
20,30,3.63,6.980011,6,TRUE,S
21,54,6.534,0,0,FALSE,S
22,47,5.687,1.512122,3,FALSE,S
23,19,2.299,1.426213,1,FALSE,S
24,11,1.331,5.235732,3,TRUE,S
25,4,0.484,3.59699,1,FALSE,S
26,16,1.936,0.9087562,3,FALSE,S
27,30,3.63,2.389147,2,FALSE,S
28,9,1.089,3.184649,3,FALSE,S
29,14,1.694,0.9562381,1,TRUE,S
