Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p7PB,159.6416,1360.012,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,195,23.595,9.770682,22,FALSE,L
1,0,0,0,0,FALSE,L
2,6,0.726,0.5713421,1,FALSE,M
3,0,0,0,0,TRUE,S
4,11,1.331,0,0,TRUE,M
5,13,1.573,0,0,FALSE,L
6,15,1.815,0,0,FALSE,M
7,87,10.527,1.228136,5,FALSE,M
8,10,1.21,0,0,FALSE,M
9,24,2.904,0,0,TRUE,M
10,24,2.904,0.1849955,2,TRUE,M
11,2,0.242,0,0,TRUE,L
12,0,0,0,0,FALSE,S
13,0,0,0,0,FALSE,S
14,0,0,0,0,TRUE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,0,0,0,0,TRUE,S
18,0,0,0,0,FALSE,S
19,0,0,0,0,FALSE,S
20,0,0,0,0,TRUE,S
21,0,0,0,0,TRUE,S
22,0,0,0,0,TRUE,S
23,9,1.089,0,0,FALSE,S
24,0,0,0,0,FALSE,S
25,0,0,0,0,TRUE,S
26,0,0,0,0,TRUE,S
27,0,0,0,0,TRUE,S
28,0,0,0,0,TRUE,S
29,2,0.242,0,0,FALSE,S
