Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p6PB,120.5393,768.4006,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,450,54.45,35.16819,22,FALSE,L
1,7,0.847,0.3366674,1,TRUE,L
2,1186,143.506,98.69711,49,FALSE,M
3,0,0,0,0,TRUE,S
4,54,6.534,1.535342,1,FALSE,M
5,109,13.189,5.20495,8,FALSE,L
6,93,11.253,0.7877564,2,FALSE,M
7,850,102.85,70.18082,39,FALSE,M
8,141,17.061,4.542712,6,FALSE,M
9,183,22.143,11.27616,7,FALSE,M
10,352,42.592,21.88208,21,TRUE,M
11,66,7.986,4.50406,3,TRUE,L
12,1,0.121,0.1009832,1,FALSE,S
13,0,0,0,0,TRUE,S
14,7,0.847,0,0,TRUE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,2,0.242,0,0,FALSE,S
18,0,0,0,0,TRUE,S
19,0,0,0,0,FALSE,S
20,0,0,0,0,TRUE,S
21,2,0.242,0,0,TRUE,S
22,7,0.847,0,0,FALSE,S
23,0,0,0,0,FALSE,S
24,3,0.363,0,0,TRUE,S
25,0,0,0,0,FALSE,S
26,1,0.121,0,0,FALSE,S
27,0,0,0,0,TRUE,S
28,19,2.299,1.662578,1,TRUE,S
29,1,0.121,0,0,FALSE,S
