Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p6AR,163.9284,572.4196,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,301,36.421,3.105702,11,FALSE,L
1,96,11.616,1.936318,5,TRUE,L
2,121,14.641,3.052832,8,FALSE,M
3,39,4.719,8.256333,7,FALSE,S
4,94,11.374,1.037548,2,FALSE,M
5,113,13.673,16.6466,30,FALSE,L
6,230,27.83,2.899974,5,FALSE,M
7,90,10.89,2.146003,6,FALSE,M
8,54,6.534,2.728163,8,FALSE,M
9,51,6.171,1.120588,3,TRUE,M
10,11,1.331,2.812381,3,FALSE,M
11,92,11.132,1.35849,3,FALSE,L
12,19,2.299,0,0,TRUE,S
13,11,1.331,0,0,FALSE,S
14,96,11.616,1.560067,5,FALSE,L
15,0,0,0,0,FALSE,S
16,8,0.968,0.1008656,1,FALSE,S
17,9,1.089,1.755219,2,FALSE,S
18,12,1.452,0.8223606,1,FALSE,S
19,19,2.299,1.42384,1,FALSE,S
20,13,1.573,2.447952,3,FALSE,S
21,6,0.726,0,0,FALSE,S
22,57,6.897,3.382238,4,FALSE,S
23,8,0.968,0.2182789,1,FALSE,S
24,9,1.089,1.772114,1,FALSE,S
25,15,1.815,0.8233208,1,FALSE,S
26,6,0.726,0,0,FALSE,S
27,0,0,0.5370895,1,FALSE,S
28,12,1.452,2.303447,4,FALSE,S
29,10,1.21,0.3181569,2,FALSE,S
