Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p6PB,118.3236,768.4006,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,463,56.023,38.90012,27,FALSE,L
1,61,7.381,4.731454,4,TRUE,L
2,143,17.303,13.77315,12,FALSE,M
3,0,0,0,0,TRUE,S
4,65,7.865,3.316451,2,FALSE,M
5,143,17.303,6.222102,8,FALSE,L
6,516,62.436,1.753202,2,FALSE,M
7,1299,157.179,104.9621,50,FALSE,M
8,527,63.767,37.73999,25,FALSE,M
9,132,15.972,8.388173,6,FALSE,M
10,249,30.129,17.34424,16,TRUE,M
11,66,7.986,0,0,TRUE,L
12,1,0.121,0,0,FALSE,S
13,0,0,0,0,TRUE,S
14,7,0.847,0,0,TRUE,L
15,1,0.121,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,0,0,0,0,FALSE,S
18,0,0,0,0,TRUE,S
19,0,0,0,0,FALSE,S
20,0,0,0,0,TRUE,S
21,2,0.242,0,0,TRUE,S
22,4,0.484,0,0,FALSE,S
23,0,0,0,0,FALSE,S
24,3,0.363,0,0,TRUE,S
25,0,0,0,0,FALSE,S
26,1,0.121,0,0,FALSE,S
27,0,0,0,0,TRUE,S
28,19,2.299,0,0,TRUE,S
29,1,0.121,0,0,FALSE,S
