Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p6AR,176.487,572.4196,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,271,32.791,4.508236,15,FALSE,L
1,92,11.132,3.019365,5,TRUE,L
2,140,16.94,5.213527,10,FALSE,L
3,105,12.705,6.605739,3,FALSE,S
4,61,7.381,0.9969695,4,FALSE,M
5,642,77.682,14.06985,34,FALSE,L
6,217,26.257,5.937789,10,FALSE,M
7,92,11.132,2.198037,6,FALSE,M
8,94,11.374,3.192778,7,FALSE,M
9,133,16.093,6.876438,12,TRUE,L
10,174,21.054,6.916637,13,FALSE,M
11,70,8.47,2.580425,5,FALSE,L
12,45,5.445,3.41641,4,TRUE,S
13,38,4.598,3.448095,2,FALSE,S
14,61,7.381,1.297,4,FALSE,L
15,111,13.431,10.61585,4,FALSE,S
16,25,3.025,1.506382,2,FALSE,S
17,36,4.356,2.125999,2,FALSE,S
18,114,13.794,10.55244,4,FALSE,S
19,34,4.114,2.467721,2,FALSE,S
20,29,3.509,2.898723,1,FALSE,S
21,49,5.929,4.506449,2,FALSE,S
22,72,8.712,5.884093,5,FALSE,S
23,14,1.694,1.056349,1,FALSE,S
24,36,4.356,0.1174318,0,FALSE,S
25,14,1.694,0.8061722,1,FALSE,S
26,33,3.993,1.183962,5,FALSE,S
27,63,7.623,7.150733,2,FALSE,S
28,49,5.929,2.603665,2,FALSE,S
29,41,4.961,2.084805,4,FALSE,S
