Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p9PB,422.7677,1065.026,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,96,11.616,0.1000012,1,FALSE,L
1,56,6.776,0.8712966,6,FALSE,L
2,5,0.605,0,0,FALSE,M
3,11,1.331,0,0,TRUE,S
4,9,1.089,0,0,FALSE,M
5,241,29.161,3.468552,9,FALSE,L
6,37,4.477,0.1178216,0,FALSE,M
7,342,41.382,2.469515,12,FALSE,M
8,10,1.21,0,0,FALSE,M
9,40,4.84,0.2003255,2,FALSE,M
10,283,34.243,10.69696,29,TRUE,M
11,90,10.89,0,0,TRUE,L
12,14,1.694,0,0,FALSE,S
13,6,0.726,0,0,TRUE,S
14,179,21.659,1.464526,3,TRUE,L
15,0,0,0,0,FALSE,S
16,7,0.847,0,0,FALSE,S
17,4,0.484,0,0,FALSE,S
18,6,0.726,0,0,TRUE,S
19,24,2.904,0,0,FALSE,S
20,8,0.968,0,0,FALSE,S
21,0,0,0,0,TRUE,S
22,6,0.726,0,0,TRUE,S
23,9,1.089,0.0836678,1,FALSE,S
24,2,0.242,0,0,TRUE,S
25,16,1.936,0.4534275,1,FALSE,S
26,14,1.694,0,0,FALSE,S
27,3,0.363,0,0,TRUE,S
28,4,0.484,0,0,TRUE,S
29,6,0.726,0,0,TRUE,S
