Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p11PB,687.99,1722.629,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,114,13.794,1.121298,2,FALSE,L
1,37,4.477,0.3347162,1,FALSE,L
2,55,6.655,0.7914134,2,FALSE,M
3,2,0.242,0,0,TRUE,S
4,12,1.452,0.3495086,1,FALSE,M
5,267,32.307,3.101662,13,FALSE,L
6,114,13.794,1.417244,1,FALSE,M
7,387,46.827,17.82787,19,FALSE,M
8,124,15.004,2.819353,7,FALSE,M
9,321,38.841,6.33824,24,TRUE,M
10,70,8.47,0.7039096,6,TRUE,M
11,0,0,0,0,FALSE,L
12,0,0,0,0,FALSE,S
13,2,0.242,0,0,TRUE,S
14,31,3.751,0.4370742,2,TRUE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,2,0.242,0,0,FALSE,S
18,4,0.484,0,0,TRUE,S
19,13,1.573,0,0,FALSE,S
20,0,0,0,0,FALSE,S
21,0,0,0,0,TRUE,S
22,0,0,0,0,FALSE,S
23,0,0,0,0,FALSE,S
24,14,1.694,0,0,TRUE,S
25,2,0.242,0,0,FALSE,S
26,11,1.331,0,0,FALSE,S
27,2,0.242,0,0,FALSE,S
28,5,0.605,0,0,TRUE,S
29,4,0.484,0,0,FALSE,S
