Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p7PB,159.6423,1360.012,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,318,38.478,16.45401,21,FALSE,L
1,0,0,0,0,FALSE,L
2,14,1.694,0.5880004,1,FALSE,M
3,0,0,0,0,TRUE,S
4,6,0.726,0,0,TRUE,M
5,19,2.299,0.1002829,1,FALSE,L
6,24,2.904,0,0,FALSE,M
7,92,11.132,2.66617,4,FALSE,M
8,0,0,0,0,FALSE,M
9,24,2.904,0.3373591,1,TRUE,M
10,40,4.84,0.9054024,3,TRUE,M
11,2,0.242,0,0,TRUE,L
12,0,0,0,0,FALSE,S
13,0,0,0,0,FALSE,S
14,0,0,0,0,TRUE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,0,0,0,0,TRUE,S
18,0,0,0,0,FALSE,S
19,0,0,0,0,FALSE,S
20,0,0,0,0,TRUE,S
21,0,0,0,0,TRUE,S
22,0,0,0,0,TRUE,S
23,11,1.331,0,0,FALSE,S
24,0,0,0,0,FALSE,S
25,0,0,0,0,TRUE,S
26,0,0,0,0,TRUE,S
27,0,0,0,0,TRUE,S
28,0,0,0,0,TRUE,S
29,2,0.242,0,0,FALSE,S
