Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p7AR,377.8455,740.0195,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,169,20.449,5.487339,9,FALSE,L
1,102,12.342,2.309112,4,FALSE,L
2,51,6.171,1.090665,4,FALSE,M
3,131,15.851,11.17426,13,FALSE,S
4,103,12.463,2.55876,7,TRUE,M
5,708,85.668,12.93406,25,FALSE,L
6,98,11.858,0,0,FALSE,M
7,265,32.065,4.753119,11,FALSE,M
8,134,16.214,5.183486,13,TRUE,M
9,61,7.381,0.2030985,1,FALSE,M
10,13,1.573,0.5387576,2,FALSE,M
11,227,27.467,5.91936,14,FALSE,L
12,203,24.563,0,0,FALSE,S
13,29,3.509,0,0,FALSE,S
14,209,25.289,2.717274,9,FALSE,L
15,0,0,0,0,FALSE,S
16,12,1.452,0.3185803,2,FALSE,S
17,0,0,3.401487,3,FALSE,S
18,20,2.42,1.409649,1,FALSE,S
19,5,0.605,0.1007513,1,FALSE,S
20,23,2.783,4.527231,6,FALSE,S
21,73,8.833,0,0,FALSE,S
22,26,3.146,0.8908235,3,FALSE,S
23,1,0.121,0.2024582,1,FALSE,S
24,10,1.21,1.969808,3,FALSE,S
25,21,2.541,0.5208604,3,FALSE,S
26,4,0.484,0,0,FALSE,S
27,9,1.089,0.5743629,1,FALSE,S
28,16,1.936,0,0,FALSE,S
29,3,0.363,0.1003457,1,FALSE,S
