Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p5PB,506.5201,1006.404,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,355,42.955,13.83978,17,FALSE,L
1,70,8.47,4.721078,6,FALSE,L
2,141,17.061,8.998587,12,TRUE,M
3,8,0.968,0.2182291,1,TRUE,S
4,6,0.726,0,0,TRUE,M
5,615,74.415,27.45572,37,FALSE,L
6,132,15.972,4.387312,6,TRUE,M
7,48,5.808,1.22289,4,FALSE,M
8,62,7.502,1.71834,5,TRUE,M
9,88,10.648,6.80364,5,FALSE,M
10,251,30.371,12.89194,15,TRUE,M
11,144,17.424,5.161811,8,FALSE,L
12,17,2.057,0.2342074,1,FALSE,S
13,3,0.363,0,0,TRUE,S
14,159,19.239,9.995548,8,TRUE,L
15,8,0.968,0,0,FALSE,S
16,16,1.936,1.428387,1,FALSE,S
17,46,5.566,2.868976,2,FALSE,S
18,0,0,0,0,TRUE,S
19,12,1.452,0.2370464,1,FALSE,S
20,30,3.63,2.641243,2,FALSE,S
21,0,0,0,0,FALSE,S
22,12,1.452,0,0,FALSE,S
23,0,0,0,0,TRUE,S
24,23,2.783,2.037744,1,TRUE,S
25,29,3.509,1.984626,4,TRUE,S
26,36,4.356,2.591609,3,FALSE,S
27,9,1.089,0,0,TRUE,S
28,29,3.509,2.029241,1,TRUE,S
29,24,2.904,0.8237979,1,FALSE,S
