Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p10AR,147.6958,815.4349,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,221,26.741,3.858095,8,FALSE,L
1,59,7.139,0.4358463,3,TRUE,L
2,42,5.082,0,0,FALSE,M
3,68,8.228,2.579568,5,FALSE,S
4,48,5.808,0,0,FALSE,M
5,543,65.703,7.383916,21,FALSE,L
6,48,5.808,0,0,FALSE,M
7,169,20.449,3.400742,7,FALSE,M
8,92,11.132,0.1169951,1,FALSE,M
9,206,24.926,2.68191,7,FALSE,M
10,118,14.278,6.823443,17,TRUE,M
11,221,26.741,6.419645,15,FALSE,L
12,72,8.712,0,0,FALSE,S
13,32,3.872,0,0,TRUE,S
14,221,26.741,3.223672,8,FALSE,L
15,5,0.605,0,0,FALSE,S
16,40,4.84,3.369089,1,FALSE,S
17,56,6.776,3.983372,6,FALSE,S
18,22,2.662,0.8356644,1,FALSE,S
19,51,6.171,2.21767,4,FALSE,S
20,65,7.865,2.670733,5,TRUE,S
21,57,6.897,0,0,FALSE,S
22,82,9.922,3.506327,7,FALSE,S
23,56,6.776,0.4208634,3,FALSE,S
24,45,5.445,0.8715608,5,FALSE,S
25,19,2.299,1.735369,3,FALSE,S
26,69,8.349,1.226344,4,TRUE,S
27,47,5.687,1.525547,3,FALSE,S
28,5,0.605,0,0,FALSE,S
29,7,0.847,3.737316,1,FALSE,S
