Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p7AR,398.6947,740.0195,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,213,25.773,2.427568,6,FALSE,L
1,128,15.488,2.690963,3,FALSE,L
2,30,3.63,0.6219507,2,FALSE,M
3,62,7.502,0.6522756,3,FALSE,S
4,121,14.641,2.251319,5,TRUE,M
5,228,27.588,8.833731,19,FALSE,L
6,96,11.616,2.74031,6,FALSE,M
7,280,33.88,1.947427,5,FALSE,M
8,92,11.132,3.482549,11,TRUE,M
9,19,2.299,3.346881,5,FALSE,M
10,13,1.573,0.5228232,2,FALSE,M
11,80,9.68,4.803752,14,FALSE,L
12,99,11.979,12.99817,13,FALSE,S
13,0,0,2.785839,4,FALSE,S
14,29,3.509,2.794233,9,FALSE,L
15,7,0.847,0.4181345,2,FALSE,S
16,11,1.331,0.7879129,2,FALSE,S
17,0,0,3.36513,3,FALSE,S
18,16,1.936,2.01315,1,FALSE,S
19,2,0.242,0.7744952,2,FALSE,S
20,24,2.904,4.522619,6,FALSE,S
21,0,0,1.3619,3,FALSE,S
22,9,1.089,1.171982,5,FALSE,S
23,1,0.121,0.2024477,1,FALSE,S
24,10,1.21,0,0,FALSE,S
25,21,2.541,0.5385845,3,FALSE,S
26,17,2.057,0.5466264,2,FALSE,S
27,48,5.808,2.53128,4,FALSE,S
28,0,0,0,0,FALSE,S
29,3,0.363,0.1015274,1,FALSE,S
