Participant, Time Looking At Floor, Overall Eye Tracking Time
p8AR,34.06519,578.1766

Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR
0,103,12.463,5.48449,8
1,295,35.695,3.941276,11
2,5,0.605,0,0
3,5,0.605,0.7039611,1
4,1,0.121,0,0
5,173,20.933,39.69267,48
6,6,0.726,0,0
7,12,1.452,0,0
8,10,1.21,0,0
9,8,0.968,0.2179653,1
10,27,3.267,1.929801,4
11,789,95.469,34.37011,62
12,46,5.566,4.900884,7
13,0,0,0.2176612,1
14,860,104.06,27.57684,61
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,11,1.331,1.416088,5
21,0,0,2.397192,1
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,15,1.815,3.335467,2
