Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p3PB,702.8997,1117.899,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,246,29.766,13.90155,15,FALSE,L
1,93,11.253,5.386876,6,TRUE,L
2,7,0.847,0,0,FALSE,M
3,21,2.541,0.451803,1,TRUE,S
4,29,3.509,0.1000037,1,FALSE,M
5,346,41.866,14.82461,17,FALSE,L
6,10,1.21,0,0,FALSE,M
7,49,5.929,1.612987,3,FALSE,M
8,24,2.904,0,0,TRUE,M
9,127,15.367,7.900197,7,FALSE,M
10,277,33.517,22.45506,27,FALSE,M
11,116,14.036,1.25502,3,FALSE,L
12,42,5.082,0,0,FALSE,S
13,0,0,0,0,TRUE,S
14,62,7.502,2.816227,2,TRUE,L
15,0,0,0,0,FALSE,S
16,2,0.242,2.45628,4,FALSE,S
17,0,0,0,0,FALSE,S
18,6,0.726,0,0,TRUE,S
19,61,7.381,3.352324,5,FALSE,S
20,3,0.363,0,0,TRUE,S
21,0,0,0,0,TRUE,S
22,0,0,0,0,TRUE,S
23,3,0.363,2.025524,1,FALSE,S
24,0,0,0,0,TRUE,S
25,40,4.84,3.977032,5,FALSE,S
26,23,2.783,0.7078145,1,TRUE,S
27,0,0,0,0,TRUE,S
28,39,4.719,0,0,FALSE,S
29,34,4.114,1.735931,3,FALSE,S
