Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p9AR,304.9167,668.2326,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,179,21.659,2.027427,6,FALSE,L
1,71,8.591,1.942087,4,TRUE,L
2,33,3.993,0.1173075,0,TRUE,M
3,17,2.057,1.10219,4,FALSE,S
4,69,8.349,1.121545,3,TRUE,M
5,235,28.435,1.315099,5,FALSE,L
6,73,8.833,0.6511082,3,TRUE,M
7,192,23.232,1.221449,4,FALSE,M
8,87,10.527,1.84622,4,TRUE,M
9,160,19.36,12.03124,19,TRUE,M
10,32,3.872,1.156823,7,FALSE,M
11,75,9.075,1.223084,4,FALSE,L
12,49,5.929,5.575458,8,FALSE,S
13,0,0,0.7595723,3,FALSE,S
14,37,4.477,0.2019476,2,FALSE,L
15,23,2.783,0.3028765,2,FALSE,S
16,35,4.235,0.8024045,2,FALSE,S
17,5,0.605,0.8960691,2,FALSE,S
18,31,3.751,1.547387,4,FALSE,S
19,56,6.776,2.965495,5,FALSE,S
20,21,2.541,4.273071,2,FALSE,S
21,0,0,2.104458,2,FALSE,S
22,7,0.847,2.348245,2,TRUE,S
23,5,0.605,0,0,FALSE,S
24,13,1.573,0,0,FALSE,S
25,27,3.267,0.8899865,2,FALSE,S
26,121,14.641,5.715413,6,FALSE,S
27,25,3.025,1.760534,5,TRUE,S
28,0,0,0,0,FALSE,S
29,16,1.936,0.7781347,2,FALSE,S
