Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p3AR,115.3788,817.2699,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,409,49.489,18.83029,22,FALSE,L
1,195,23.595,4.568699,6,FALSE,L
2,51,6.171,5.160484,5,FALSE,M
3,22,2.662,3.16559,2,FALSE,S
4,121,14.641,1.222399,3,TRUE,M
5,577,69.817,16.64577,31,FALSE,L
6,111,13.431,4.354725,3,FALSE,M
7,713,86.273,26.57273,34,FALSE,M
8,561,67.881,28.03299,40,FALSE,M
9,48,5.808,8.806944,8,FALSE,M
10,12,1.452,7.600253,9,TRUE,M
11,173,20.933,8.623482,13,FALSE,L
12,94,11.374,28.22484,14,FALSE,S
13,0,0,6.065471,6,FALSE,S
14,104,12.584,5.000343,6,TRUE,L
15,40,4.84,3.581088,4,FALSE,S
16,37,4.477,4.959038,6,FALSE,S
17,11,1.331,3.066762,7,TRUE,S
18,65,7.865,9.784219,8,FALSE,S
19,40,4.84,1.093225,5,FALSE,S
20,99,11.979,11.88183,6,TRUE,S
21,2,0.242,2.543933,3,FALSE,S
22,32,3.872,10.9365,9,FALSE,S
23,28,3.388,5.570836,3,TRUE,S
24,19,2.299,0,0,FALSE,S
25,18,2.178,3.557954,1,TRUE,S
26,157,18.997,9.443883,10,FALSE,S
27,51,6.171,4.485737,3,FALSE,S
28,2,0.242,0,0,FALSE,S
29,13,1.573,2.571504,3,FALSE,S
