Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p8AR,35.40138,578.1766,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,87,10.527,4.511457,5,FALSE,L
1,495,59.895,10.36148,17,FALSE,L
2,3,0.363,0,0,FALSE,L
3,52,6.292,0.7369874,1,FALSE,S
4,1,0.121,0,0,TRUE,M
5,1104,133.584,51.76155,61,FALSE,L
6,5,0.605,0,0,TRUE,M
7,6,0.726,0,0,TRUE,M
8,19,2.299,0,0,TRUE,M
9,7,0.847,0.2177259,1,FALSE,L
10,94,11.374,2.090462,5,FALSE,M
11,945,114.345,43.50738,74,TRUE,L
12,55,6.655,5.972446,6,FALSE,S
13,7,0.847,0,0,FALSE,S
14,1066,128.986,38.57057,66,FALSE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,0,0,0,0,TRUE,S
18,0,0,0,0,FALSE,S
19,0,0,0,0,FALSE,S
20,137,16.577,9.058717,10,TRUE,S
21,35,4.235,2.525073,1,FALSE,S
22,0,0,0,0,TRUE,S
23,0,0,0,0,TRUE,S
24,0,0,0,0,FALSE,S
25,2,0.242,0,0,FALSE,S
26,0,0,0,0,FALSE,S
27,0,0,0,0,FALSE,S
28,0,0,0,0,FALSE,S
29,41,4.961,3.897905,2,FALSE,S
