Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p3AR,113.2643,817.2699,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,292,35.332,16.27713,15,FALSE,L
1,224,27.104,10.30456,13,FALSE,L
2,78,9.438,10.17118,7,FALSE,M
3,276,33.396,29.23928,16,FALSE,S
4,140,16.94,1.8488,4,TRUE,M
5,1495,180.895,27.3369,42,FALSE,L
6,108,13.068,0.7714404,3,FALSE,M
7,540,65.34,28.23228,32,FALSE,M
8,504,60.984,24.0365,34,FALSE,M
9,125,15.125,5.880006,5,FALSE,M
10,12,1.452,7.913313,10,TRUE,M
11,247,29.887,1.728894,2,FALSE,L
12,228,27.588,0,0,FALSE,S
13,85,10.285,0,0,FALSE,S
14,190,22.99,3.72463,5,TRUE,L
15,0,0,0,0,FALSE,S
16,28,3.388,2.660462,4,FALSE,S
17,29,3.509,3.69092,7,TRUE,S
18,16,1.936,0.202047,2,FALSE,S
19,37,4.477,4.591737,4,FALSE,S
20,99,11.979,11.88305,6,TRUE,S
21,0,0,0,0,FALSE,S
22,148,17.908,9.053967,8,FALSE,S
23,28,3.388,5.594503,3,TRUE,S
24,21,2.541,2.449653,3,FALSE,S
25,19,2.299,3.571697,1,TRUE,S
26,14,1.694,0,0,FALSE,S
27,2,0.242,0,0,FALSE,S
28,8,0.968,0.4740856,0,FALSE,S
29,12,1.452,2.56873,3,FALSE,S
