Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p10AR,152.3416,815.4349,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,181,21.901,1.270729,4,FALSE,L
1,103,12.463,0.350786,1,TRUE,L
2,64,7.744,1.746719,3,FALSE,M
3,13,1.573,0.2252584,1,FALSE,S
4,48,5.808,0,0,FALSE,M
5,187,22.627,6.2785,18,FALSE,L
6,49,5.929,0,0,FALSE,M
7,243,29.403,3.380893,7,FALSE,M
8,120,14.52,1.385294,4,FALSE,M
9,150,18.15,3.039192,13,FALSE,M
10,118,14.278,7.639928,19,TRUE,M
11,62,7.502,7.554427,20,FALSE,L
12,65,7.865,5.379051,9,FALSE,S
13,1,0.121,0.2177207,1,TRUE,S
14,44,5.324,2.206292,5,FALSE,L
15,0,0,0,0,FALSE,S
16,17,2.057,0.100261,1,FALSE,S
17,52,6.292,3.515155,6,FALSE,S
18,18,2.178,6.862415,3,FALSE,S
19,46,5.566,1.439468,6,FALSE,S
20,66,7.986,2.671336,5,TRUE,S
21,0,0,0.7010034,2,FALSE,S
22,28,3.388,3.750433,7,FALSE,S
23,56,6.776,0.44978,3,FALSE,S
24,45,5.445,0,0,FALSE,S
25,19,2.299,1.75814,3,FALSE,S
26,91,11.011,2.191728,6,TRUE,S
27,65,7.865,0.6859996,2,FALSE,S
28,4,0.484,0,0,FALSE,S
29,7,0.847,3.739832,1,FALSE,S
