Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p4AR,168.121,714.2319,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,216,26.136,4.97702,12,FALSE,L
1,107,12.947,1.120664,3,FALSE,L
2,88,10.648,3.924179,7,FALSE,M
3,16,1.936,0.1152794,0,FALSE,S
4,123,14.883,5.216007,5,FALSE,M
5,198,23.958,6.845901,18,TRUE,L
6,100,12.1,1.396983,3,FALSE,M
7,260,31.46,10.87367,22,FALSE,M
8,105,12.705,2.626715,8,FALSE,M
9,49,5.929,13.12204,22,FALSE,M
10,26,3.146,2.414336,5,FALSE,M
11,108,13.068,11.08594,20,TRUE,L
12,20,2.42,3.431015,7,FALSE,S
13,0,0,0,0,FALSE,S
14,68,8.228,16.44352,24,TRUE,L
15,3,0.363,0,0,FALSE,S
16,21,2.541,0.1004435,1,FALSE,S
17,28,3.388,1.76355,6,TRUE,S
18,16,1.936,3.382823,4,FALSE,S
19,29,3.509,0.5695463,2,FALSE,S
20,34,4.114,1.378708,3,TRUE,S
21,0,0,1.651012,2,FALSE,S
22,18,2.178,1.642269,2,FALSE,S
23,14,1.694,1.175295,1,TRUE,S
24,12,1.452,0,0,TRUE,S
25,9,1.089,1.650582,1,TRUE,S
26,15,1.815,0.5715771,1,FALSE,S
27,22,2.662,0.3108514,2,FALSE,S
28,1,0.121,0,0,FALSE,S
29,22,2.662,4.118933,3,FALSE,S
