Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p4AR,171.7679,714.2319,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,169,20.449,4.438943,10,FALSE,L
1,139,16.819,2.591631,7,FALSE,L
2,314,37.994,14.84647,20,FALSE,L
3,70,8.47,0.4366086,1,FALSE,S
4,136,16.456,7.212334,4,FALSE,M
5,340,41.14,6.281574,20,TRUE,L
6,92,11.132,1.148942,3,FALSE,M
7,424,51.304,16.07281,32,FALSE,M
8,218,26.378,11.78283,19,FALSE,M
9,295,35.695,15.5906,28,FALSE,L
10,132,15.972,4.875754,9,FALSE,M
11,209,25.289,11.92648,20,TRUE,L
12,68,8.228,3.690073,9,FALSE,S
13,10,1.21,0,0,FALSE,S
14,462,55.902,27.09843,24,TRUE,L
15,3,0.363,0,0,FALSE,S
16,59,7.139,3.139262,5,FALSE,S
17,40,4.84,2.313107,4,TRUE,S
18,60,7.26,5.157018,2,FALSE,S
19,55,6.655,1.743985,3,FALSE,S
20,33,3.993,1.560046,1,TRUE,S
21,17,2.057,1.654644,2,FALSE,S
22,57,6.897,3.920731,3,FALSE,S
23,60,7.26,3.969073,6,TRUE,S
24,58,7.018,0,0,TRUE,S
25,31,3.751,2.013627,2,TRUE,S
26,37,4.477,1.391253,3,FALSE,S
27,20,2.42,0.4214217,3,FALSE,S
28,17,2.057,1.044576,1,FALSE,S
29,65,7.865,5.122817,3,FALSE,S
