Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p4PB,570.6305,854.9796,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,271,32.791,8.744267,11,FALSE,L
1,50,6.05,0.805437,1,TRUE,L
2,11,1.331,0,0,FALSE,M
3,6,0.726,0.1003747,1,TRUE,S
4,2,0.242,0,0,FALSE,M
5,150,18.15,4.211788,9,FALSE,L
6,15,1.815,0.3182828,2,FALSE,M
7,26,3.146,0,0,FALSE,M
8,27,3.267,0,0,TRUE,M
9,17,2.057,0,0,FALSE,M
10,41,4.961,1.490526,3,FALSE,M
11,83,10.043,0.216678,1,TRUE,L
12,6,0.726,0,0,FALSE,S
13,0,0,0,0,TRUE,S
14,77,9.317,0.0843824,1,FALSE,L
15,0,0,0,0,FALSE,S
16,23,2.783,0.2180877,1,FALSE,S
17,2,0.242,0,0,FALSE,S
18,10,1.21,0.2169183,1,TRUE,S
19,1,0.121,0,0,FALSE,S
20,32,3.872,0.6889509,1,TRUE,S
21,13,1.573,0,0,FALSE,S
22,10,1.21,0,0,FALSE,S
23,2,0.242,0.2335088,1,FALSE,S
24,8,0.968,0.1009562,1,TRUE,S
25,3,0.363,0,0,FALSE,S
26,11,1.331,0.216979,1,TRUE,S
27,10,1.21,0,0,TRUE,S
28,35,4.235,0,0,FALSE,S
29,9,1.089,1.305966,5,FALSE,S
