Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p11AR,235.6098,844.3793,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,543,65.703,24.23143,34,FALSE,L
1,70,8.47,0.3351482,1,TRUE,L
2,191,23.111,6.105392,7,FALSE,M
3,191,23.111,4.649516,8,FALSE,S
4,14,1.694,0.3173937,2,FALSE,M
5,852,103.092,25.5199,43,FALSE,L
6,52,6.292,0,0,FALSE,M
7,268,32.428,4.918374,9,FALSE,M
8,104,12.584,2.117225,7,FALSE,M
9,469,56.749,23.32512,37,FALSE,M
10,371,44.891,8.936575,29,FALSE,M
11,120,14.52,4.013358,11,FALSE,L
12,157,18.997,13.40625,12,FALSE,S
13,63,7.623,2.75363,6,FALSE,S
14,183,22.143,8.558491,8,FALSE,L
15,33,3.993,0.6952049,1,FALSE,S
16,63,7.623,2.885503,4,FALSE,S
17,30,3.63,1.04006,2,FALSE,S
18,82,9.922,5.329579,4,TRUE,S
19,88,10.648,3.065197,8,FALSE,S
20,49,5.929,2.001601,5,FALSE,S
21,196,23.716,19.57371,7,FALSE,S
22,124,15.004,8.334963,8,FALSE,S
23,19,2.299,0.9449873,1,FALSE,S
24,28,3.388,0.134026,0,FALSE,S
25,44,5.324,1.601699,5,FALSE,S
26,48,5.808,0.6037969,5,FALSE,S
27,39,4.719,2.376381,1,FALSE,S
28,49,5.929,1.595724,3,FALSE,S
29,48,5.808,2.324152,3,FALSE,S
