Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p11AR,239.7359,844.3793,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,614,74.294,22.4278,33,FALSE,L
1,84,10.164,1.22224,4,TRUE,L
2,62,7.502,1.614678,4,FALSE,M
3,169,20.449,8.48678,18,FALSE,S
4,25,3.025,0,0,FALSE,M
5,1237,149.677,36.74099,35,FALSE,L
6,47,5.687,0.2024148,1,FALSE,M
7,281,34.001,4.520235,8,FALSE,M
8,131,15.851,4.689354,5,FALSE,M
9,111,13.431,2.924578,11,FALSE,M
10,82,9.922,6.121143,21,FALSE,M
11,130,15.73,0.7546576,4,FALSE,L
12,142,17.182,0,0,FALSE,S
13,81,9.801,0,0,FALSE,S
14,260,31.46,7.708892,10,FALSE,L
15,0,0,0,0,FALSE,S
16,11,1.331,0.1228099,0,FALSE,S
17,8,0.968,0.1004035,1,FALSE,S
18,21,2.541,0.5870008,1,TRUE,S
19,12,1.452,1.637239,2,FALSE,S
20,12,1.452,1.858875,3,FALSE,S
21,14,1.694,0,0,FALSE,S
22,84,10.164,5.553168,4,FALSE,S
23,4,0.484,0.217819,1,FALSE,S
24,5,0.605,1.747715,2,FALSE,S
25,4,0.484,0.9883907,3,FALSE,S
26,23,2.783,0.5395427,2,FALSE,S
27,0,0,0,0,FALSE,S
28,21,2.541,0.8034581,2,FALSE,S
29,0,0,1.261075,2,FALSE,S
