Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p11AR,235.8814,844.3793,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,544,65.824,24.09452,35,FALSE,L
1,62,7.502,0.3878914,2,TRUE,L
2,192,23.232,6.066429,7,FALSE,L
3,191,23.111,4.622044,8,FALSE,S
4,14,1.694,0.2849517,2,FALSE,M
5,840,101.64,25.78448,42,FALSE,L
6,52,6.292,0,0,FALSE,M
7,268,32.428,4.910114,9,FALSE,M
8,104,12.584,2.088727,7,FALSE,M
9,469,56.749,23.23221,37,FALSE,L
10,369,44.649,8.901689,29,FALSE,M
11,109,13.189,4.447677,12,FALSE,L
12,157,18.997,13.4304,12,FALSE,S
13,63,7.623,2.742432,6,FALSE,S
14,180,21.78,8.942184,8,FALSE,L
15,33,3.993,0.690968,1,FALSE,S
16,63,7.623,2.876388,4,FALSE,S
17,30,3.63,1.028113,2,FALSE,S
18,82,9.922,5.317035,4,TRUE,S
19,88,10.648,3.049772,8,FALSE,S
20,49,5.929,1.925515,5,FALSE,S
21,196,23.716,19.58199,7,FALSE,S
22,124,15.004,8.341981,8,FALSE,S
23,19,2.299,0.9365517,1,FALSE,S
24,28,3.388,0.1178305,0,FALSE,S
25,44,5.324,1.541209,5,FALSE,S
26,48,5.808,0.5752271,5,FALSE,S
27,39,4.719,2.382309,1,FALSE,S
28,49,5.929,1.614163,3,FALSE,S
29,47,5.687,2.317372,3,FALSE,S
