Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p11PB,678.6036,1722.629,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,232,28.072,5.909545,13,FALSE,L
1,19,2.299,0.4040003,2,FALSE,L
2,272,32.912,17.72016,15,FALSE,M
3,2,0.242,0,0,TRUE,S
4,3,0.363,0,0,FALSE,M
5,264,31.944,7.370284,17,FALSE,L
6,212,25.652,1.97829,3,FALSE,M
7,499,60.379,21.10283,30,FALSE,M
8,9,1.089,0,0,FALSE,M
9,593,71.753,15.64441,47,TRUE,M
10,186,22.506,3.311446,12,TRUE,M
11,5,0.605,0,0,FALSE,L
12,0,0,0,0,FALSE,S
13,1,0.121,0,0,TRUE,S
14,31,3.751,0.435173,2,TRUE,L
15,0,0,0,0,FALSE,S
16,0,0,0,0,FALSE,S
17,4,0.484,0,0,FALSE,S
18,4,0.484,0,0,TRUE,S
19,8,0.968,0,0,FALSE,S
20,0,0,0,0,FALSE,S
21,0,0,0,0,TRUE,S
22,6,0.726,0,0,FALSE,S
23,6,0.726,0.100357,1,FALSE,S
24,26,3.146,0,0,TRUE,S
25,2,0.242,0,0,FALSE,S
26,11,1.331,0,0,FALSE,S
27,0,0,0,0,FALSE,S
28,5,0.605,0,0,TRUE,S
29,2,0.242,0,0,FALSE,S
