Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p6AR,174.4449,572.4196,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,87,10.527,7.444442,13,FALSE,L
1,67,8.107,1.168542,1,TRUE,L
2,55,6.655,2.834558,6,FALSE,M
3,6,0.726,5.671324,4,FALSE,S
4,84,10.164,1.23775,4,FALSE,M
5,156,18.876,9.021418,22,FALSE,L
6,229,27.709,3.347236,6,FALSE,M
7,98,11.858,1.002359,4,FALSE,M
8,52,6.292,1.952688,5,FALSE,M
9,20,2.42,3.934154,6,TRUE,M
10,11,1.331,2.914231,4,FALSE,M
11,83,10.043,1.371674,3,FALSE,L
12,10,1.21,2.419666,5,TRUE,S
13,0,0,3.163517,4,FALSE,S
14,66,7.986,1.490127,4,FALSE,L
15,23,2.783,9.006448,6,FALSE,S
16,16,1.936,0.8892264,3,FALSE,S
17,2,0.242,1.669817,1,FALSE,S
18,12,1.452,7.487728,9,FALSE,S
19,18,2.178,1.940624,3,FALSE,S
20,13,1.573,2.447851,3,FALSE,S
21,16,1.936,4.153038,2,FALSE,S
22,7,0.847,4.286185,6,FALSE,S
23,8,0.968,0.2189829,1,FALSE,S
24,8,0.968,0,0,FALSE,S
25,15,1.815,0.8218255,1,FALSE,S
26,12,1.452,0.625346,3,FALSE,S
27,62,7.502,5.631757,5,FALSE,S
28,2,0.242,0,0,FALSE,S
29,11,1.331,0.3284228,2,FALSE,S
