Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p5AR,380.8876,974.5293,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,512,61.952,26.50736,41,FALSE,L
1,296,35.816,3.348682,7,TRUE,L
2,335,40.535,9.638743,25,FALSE,L
3,147,17.787,0.47051,0,FALSE,S
4,132,15.972,2.636482,7,TRUE,M
5,352,42.592,4.399183,14,TRUE,L
6,134,16.214,2.437995,3,FALSE,M
7,137,16.577,1.732285,3,TRUE,M
8,536,64.856,22.13244,32,TRUE,M
9,337,40.777,25.97315,17,FALSE,L
10,130,15.73,4.636822,8,FALSE,M
11,320,38.72,17.32211,20,FALSE,L
12,144,17.424,13.02096,7,FALSE,S
13,33,3.993,2.199482,4,FALSE,S
14,187,22.627,5.065017,15,FALSE,L
15,52,6.292,2.719339,3,FALSE,S
16,49,5.929,3.661472,3,FALSE,S
17,110,13.31,8.44523,6,FALSE,S
18,56,6.776,4.125618,4,TRUE,S
19,121,14.641,9.229744,8,FALSE,S
20,95,11.495,8.328039,5,TRUE,S
21,72,8.712,7.559278,3,FALSE,S
22,59,7.139,3.745256,5,FALSE,S
23,53,6.413,5.279023,1,FALSE,S
24,62,7.502,0.1006049,1,TRUE,S
25,37,4.477,3.960682,1,FALSE,S
26,46,5.566,2.39667,1,FALSE,S
27,13,1.573,1.293195,2,FALSE,S
28,48,5.808,3.80599,3,FALSE,S
29,38,4.598,3.474734,1,TRUE,S
