Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p9AR,303.6866,668.2326,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,261,31.581,2.54723,5,FALSE,L
1,124,15.004,2.743401,6,TRUE,L
2,49,5.929,0,0,TRUE,M
3,79,9.559,4.254325,11,FALSE,S
4,75,9.075,1.144648,3,TRUE,M
5,561,67.881,4.413454,10,FALSE,L
6,66,7.986,0.6529027,3,TRUE,M
7,182,22.022,1.339944,4,FALSE,M
8,94,11.374,1.588916,5,TRUE,M
9,241,29.161,9.533902,17,TRUE,M
10,31,3.751,1.173479,7,FALSE,M
11,57,6.897,0,0,FALSE,L
12,76,9.196,0,0,FALSE,S
13,51,6.171,0,0,FALSE,S
14,94,11.374,0.1679418,2,FALSE,L
15,2,0.242,0,0,FALSE,S
16,56,6.776,3.53628,5,FALSE,S
17,7,0.847,0.906628,2,FALSE,S
18,29,3.509,1.618776,2,FALSE,S
19,58,7.018,3.758214,4,FALSE,S
20,21,2.541,4.257818,2,FALSE,S
21,0,0,0,0,FALSE,S
22,36,4.356,2.081897,3,TRUE,S
23,5,0.605,0,0,FALSE,S
24,13,1.573,1.131121,3,FALSE,S
25,26,3.146,0.8902733,2,FALSE,S
26,30,3.63,0.2179743,1,FALSE,S
27,2,0.242,0,0,TRUE,S
28,19,2.299,0.2199408,1,FALSE,S
29,15,1.815,0.805932,2,FALSE,S
