Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p3PB,697.5024,1117.899,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,199,24.079,6.628189,9,FALSE,L
1,56,6.776,5.554046,4,TRUE,L
2,18,2.178,0.2011055,2,FALSE,M
3,21,2.541,1.359922,3,TRUE,S
4,20,2.42,0.0834737,1,FALSE,M
5,318,38.478,16.39201,20,FALSE,L
6,5,0.605,0,0,FALSE,M
7,34,4.114,1.771656,1,FALSE,M
8,32,3.872,0.2192706,1,TRUE,M
9,127,15.367,9.226414,6,FALSE,M
10,738,89.298,48.05455,39,FALSE,M
11,117,14.157,2.806192,4,FALSE,L
12,42,5.082,1.044322,2,FALSE,S
13,0,0,0,0,TRUE,S
14,70,8.47,2.941664,3,TRUE,L
15,0,0,0,0,FALSE,S
16,52,6.292,4.050674,2,FALSE,S
17,20,2.42,1.778535,1,FALSE,S
18,6,0.726,0,0,TRUE,S
19,76,9.196,5.224251,3,FALSE,S
20,4,0.484,0,0,TRUE,S
21,0,0,0,0,TRUE,S
22,0,0,0,0,TRUE,S
23,26,3.146,2.267927,1,FALSE,S
24,0,0,0,0,TRUE,S
25,54,6.534,4.99002,3,FALSE,S
26,23,2.783,0.7045282,1,TRUE,S
27,0,0,0,0,TRUE,S
28,41,4.961,4.813921,4,FALSE,S
29,30,3.63,1.644956,2,FALSE,S
