Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p3AR,116.1532,817.2699,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,305,36.905,13.55431,17,FALSE,L
1,230,27.83,5.759007,9,FALSE,L
2,620,75.02,28.17258,35,FALSE,L
3,303,36.663,5.720706,4,FALSE,S
4,95,11.495,0.7047362,0,TRUE,M
5,909,109.989,22.12655,35,FALSE,L
6,54,6.534,3.18812,2,FALSE,M
7,585,70.785,19.58257,28,FALSE,M
8,581,70.301,30.32405,39,FALSE,M
9,172,20.812,9.576346,7,FALSE,L
10,343,41.503,17.00958,19,TRUE,M
11,202,24.442,8.762874,13,FALSE,L
12,274,33.154,33.45051,11,FALSE,S
13,86,10.406,6.720833,6,FALSE,S
14,183,22.143,3.876961,6,TRUE,L
15,61,7.381,3.140649,6,FALSE,S
16,89,10.769,5.985877,6,FALSE,S
17,107,12.947,8.622785,6,TRUE,S
18,140,16.94,13.30844,5,FALSE,S
19,115,13.915,7.285503,6,FALSE,S
20,74,8.954,7.522958,2,TRUE,S
21,40,4.84,3.068131,2,FALSE,S
22,150,18.15,13.90399,7,FALSE,S
23,106,12.826,9.645192,4,TRUE,S
24,45,5.445,0,0,FALSE,S
25,56,6.776,3.550687,2,TRUE,S
26,134,16.214,8.461986,8,FALSE,S
27,51,6.171,5.501149,1,FALSE,S
28,41,4.961,0.3526144,0,FALSE,S
29,66,7.986,4.977994,3,FALSE,S
