Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p9PB,422.6024,1065.026,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,136,16.456,0,0,FALSE,L
1,45,5.445,1.142175,6,FALSE,L
2,21,2.541,0.101153,1,FALSE,M
3,9,1.089,0,0,TRUE,S
4,9,1.089,0,0,FALSE,M
5,145,17.545,3.974874,7,FALSE,L
6,37,4.477,0.8760406,3,FALSE,M
7,330,39.93,8.645364,23,FALSE,M
8,5,0.605,0,0,FALSE,M
9,38,4.598,0.2008819,2,FALSE,M
10,591,71.511,21.6788,42,TRUE,M
11,82,9.922,0,0,TRUE,L
12,12,1.452,0.08467541,1,FALSE,S
13,6,0.726,0,0,TRUE,S
14,169,20.449,3.273802,7,TRUE,L
15,0,0,0,0,FALSE,S
16,11,1.331,0.1000403,1,FALSE,S
17,19,2.299,0.6728036,2,FALSE,S
18,10,1.21,0.1013501,1,TRUE,S
19,24,2.904,0.1010962,1,FALSE,S
20,1,0.121,0,0,FALSE,S
21,7,0.847,0,0,TRUE,S
22,14,1.694,0.1001927,1,TRUE,S
23,13,1.573,0.3375145,1,FALSE,S
24,5,0.605,0,0,TRUE,S
25,12,1.452,0.4549873,1,FALSE,S
26,14,1.694,0.1000287,1,FALSE,S
27,3,0.363,0,0,TRUE,S
28,16,1.936,0.2186866,1,TRUE,S
29,8,0.968,0,0,TRUE,S
