Participant, Time Looking At Floor, Overall Eye Tracking Time,,,,
p7AR,405.1735,740.0195,,,,
,,,,,,
Element ID, Total Collision Points, Time Spent Looking At Element, Dwell Timer on Elements (0.5s threshold), Dwell Count Of Elements (0.5s threshold), ERROR,Size
0,105,12.705,1.845979,2,FALSE,L
1,92,11.132,2.841063,5,FALSE,L
2,152,18.392,2.823049,7,FALSE,L
3,191,23.111,2.641874,5,FALSE,S
4,35,4.235,1.098904,3,TRUE,M
5,462,55.902,12.09814,20,FALSE,L
6,93,11.253,4.247589,6,FALSE,M
7,187,22.627,3.371051,10,FALSE,M
8,205,24.805,9.778514,19,TRUE,M
9,121,14.641,4.878072,12,FALSE,L
10,84,10.164,1.507997,6,FALSE,M
11,212,25.652,11.39832,13,FALSE,L
12,141,17.061,14.76565,12,FALSE,S
13,48,5.808,3.468987,4,FALSE,S
14,190,22.99,4.733002,10,FALSE,L
15,21,2.541,0.7884651,2,FALSE,S
16,25,3.025,1.508595,3,FALSE,S
17,45,5.445,4.768692,1,FALSE,S
18,70,8.47,6.501177,3,FALSE,S
19,26,3.146,1.520153,2,FALSE,S
20,46,5.566,5.169293,2,FALSE,S
21,27,3.267,1.569476,3,FALSE,S
22,43,5.203,3.514748,3,FALSE,S
23,22,2.662,0.9913269,3,FALSE,S
24,42,5.082,0,0,FALSE,S
25,32,3.872,0.7394525,4,FALSE,S
26,33,3.993,1.213453,4,FALSE,S
27,48,5.808,3.54366,3,FALSE,S
28,20,2.42,0.5723367,1,FALSE,S
29,10,1.21,0.2029518,1,FALSE,S
